subject, practice/real, trial#, target/nontarget, target type, setsize, error, responsetime 
1230373, 2, 37, 1, 2, 4, 0, 793 
1230373, 2, 38, 1, 2, 16, 0, 696 
1230373, 2, 39, 1, 2, 4, 0, 1305 
1230373, 2, 40, 2, 1, 16, 0, 1501 
1230373, 2, 41, 2, 2, 16, 0, 999 
1230373, 2, 42, 2, 1, 8, 1, 887 
1230373, 2, 43, 1, 1, 4, 0, 1001 
1230373, 2, 44, 1, 1, 16, 0, 1416 
1230373, 2, 45, 2, 2, 4, 0, 859 
1230373, 2, 46, 1, 2, 4, 0, 812 
1230373, 2, 47, 2, 2, 16, 0, 698 
1230373, 2, 48, 2, 1, 8, 0, 1243 
1230373, 2, 49, 1, 2, 4, 0, 743 
1230373, 2, 50, 1, 2, 16, 0, 1179 
1230373, 2, 51, 2, 1, 8, 0, 1271 
1230373, 2, 52, 2, 2, 8, 0, 720 
1230373, 2, 53, 1, 2, 4, 0, 840 
1230373, 2, 54, 2, 2, 8, 0, 999 
1230373, 2, 55, 2, 2, 8, 0, 640 
1230373, 2, 56, 2, 2, 8, 0, 569 
1230373, 2, 57, 2, 2, 8, 0, 619 
1230373, 2, 58, 2, 1, 16, 0, 1276 
1230373, 2, 59, 1, 1, 16, 0, 1142 
1230373, 2, 60, 1, 2, 4, 0, 796 
1230373, 2, 61, 1, 2, 4, 0, 649 
1230373, 2, 62, 2, 2, 16, 0, 732 
1230373, 2, 63, 1, 2, 8, 0, 854 
1230373, 2, 64, 2, 2, 8, 0, 668 
1230373, 2, 65, 2, 2, 8, 0, 700 
1230373, 2, 66, 1, 1, 8, 0, 731 
1230373, 2, 67, 2, 1, 8, 0, 831 
1230373, 2, 68, 2, 2, 4, 0, 647 
1230373, 2, 69, 2, 2, 16, 0, 616 
1230373, 2, 70, 1, 2, 16, 1, 523 
1230373, 2, 71, 1, 1, 4, 0, 1211 
1230373, 2, 72, 2, 1, 8, 0, 1292 
1230373, 2, 73, 1, 1, 4, 0, 1113 
1230373, 2, 74, 2, 1, 16, 0, 1242 
1230373, 2, 75, 1, 1, 4, 0, 861 
1230373, 2, 76, 1, 1, 8, 0, 1016 
1230373, 2, 77, 1, 1, 16, 1, 666 
1230373, 2, 78, 2, 1, 16, 0, 1161 
1230373, 2, 79, 2, 2, 16, 0, 700 
1230373, 2, 80, 2, 2, 16, 0, 728 
1230373, 2, 81, 1, 2, 8, 0, 682 
1230373, 2, 82, 1, 2, 16, 0, 708 
1230373, 2, 83, 2, 2, 4, 0, 829 
1230373, 2, 84, 1, 2, 16, 0, 675 
1230373, 2, 85, 1, 2, 8, 0, 715 
1230373, 2, 86, 2, 1, 16, 0, 2191 
1230373, 2, 87, 2, 1, 4, 0, 1148 
1230373, 2, 88, 1, 2, 16, 0, 822 
1230373, 2, 89, 2, 1, 4, 0, 860 
1230373, 2, 90, 2, 1, 4, 0, 780 
1230373, 2, 91, 1, 2, 8, 0, 934 
1230373, 2, 92, 2, 2, 8, 0, 908 
1230373, 2, 93, 2, 1, 16, 0, 1036 
1230373, 2, 94, 2, 1, 4, 0, 617 
1230373, 2, 95, 1, 1, 8, 0, 861 
1230373, 2, 96, 1, 1, 8, 1, 874 
1230373, 2, 97, 2, 1, 4, 0, 1036 
1230373, 2, 98, 1, 2, 8, 0, 1245 
1230373, 2, 99, 2, 2, 16, 0, 759 
1230373, 2, 100, 2, 2, 8, 1, 673 
1230373, 2, 101, 2, 2, 4, 0, 651 
1230373, 2, 102, 1, 1, 16, 1, 950 
1230373, 2, 103, 1, 2, 16, 0, 888 
1230373, 2, 104, 1, 2, 4, 0, 892 
1230373, 2, 105, 2, 1, 4, 0, 1221 
1230373, 2, 106, 1, 2, 16, 0, 708 
1230373, 2, 107, 2, 2, 16, 0, 820 
1230373, 2, 108, 1, 2, 8, 0, 712 
1230373, 2, 109, 2, 2, 4, 0, 673 
1230373, 2, 110, 1, 1, 4, 0, 1292 
1230373, 2, 111, 1, 2, 8, 0, 651 
1230373, 2, 112, 1, 1, 16, 0, 1740 
1230373, 2, 113, 2, 1, 16, 0, 1177 
1230373, 2, 114, 2, 1, 16, 0, 1031 
1230373, 2, 115, 1, 2, 8, 0, 834 
1230373, 2, 116, 1, 2, 4, 0, 551 
1230373, 2, 117, 1, 2, 8, 0, 617 
1230373, 2, 118, 2, 2, 8, 0, 817 
1230373, 2, 119, 1, 2, 8, 0, 633 
1230373, 2, 120, 2, 2, 16, 0, 699 
1230373, 2, 121, 2, 1, 4, 0, 876 
1230373, 2, 122, 2, 2, 8, 0, 956 
1230373, 2, 123, 2, 1, 4, 0, 792 
1230373, 2, 124, 2, 2, 16, 0, 681 
1230373, 2, 125, 2, 2, 4, 0, 504 
1230373, 2, 126, 1, 1, 16, 0, 1263 
1230373, 2, 127, 1, 1, 4, 1, 1045 
1230373, 2, 128, 2, 1, 16, 0, 1799 
1230373, 2, 129, 2, 2, 4, 0, 1273 
1230373, 2, 130, 2, 1, 8, 0, 1412 
1230373, 2, 131, 2, 1, 16, 0, 729 
1230373, 2, 132, 1, 1, 16, 1, 1120 
1230373, 2, 133, 1, 1, 16, 0, 1287 
1230373, 2, 134, 1, 1, 4, 0, 1195 
1230373, 2, 135, 2, 2, 16, 0, 721 
1230373, 2, 136, 2, 1, 8, 0, 1157 
1230373, 2, 137, 1, 1, 8, 0, 802 
1230373, 2, 138, 2, 1, 8, 0, 1626 
1230373, 2, 139, 1, 1, 4, 0, 1171 
1230373, 2, 140, 2, 1, 16, 0, 1307 
1230373, 2, 141, 1, 1, 4, 0, 716 
1230373, 2, 142, 2, 2, 16, 0, 976 
1230373, 2, 143, 1, 1, 8, 0, 1076 
1230373, 2, 144, 1, 1, 8, 0, 964 
1230373, 2, 145, 1, 2, 16, 0, 689 
1230373, 2, 146, 1, 2, 8, 0, 690 
1230373, 2, 147, 1, 2, 4, 0, 590 
1230373, 2, 148, 1, 2, 4, 0, 646 
1230373, 2, 149, 2, 2, 4, 0, 816 
1230373, 2, 150, 1, 1, 8, 0, 1698 
1230373, 2, 151, 2, 2, 8, 0, 772 
1230373, 2, 152, 1, 2, 8, 0, 723 
1230373, 2, 153, 1, 2, 16, 0, 865 
1230373, 2, 154, 2, 2, 8, 0, 674 
1230373, 2, 155, 2, 1, 8, 0, 1107 
1230373, 2, 156, 1, 2, 8, 0, 756 
1230373, 2, 157, 1, 2, 8, 0, 661 
1230373, 2, 158, 1, 1, 4, 0, 885 
1230373, 2, 159, 2, 2, 4, 0, 720 
1230373, 2, 160, 1, 1, 8, 0, 1320 
1230373, 2, 161, 2, 2, 8, 0, 688 
1230373, 2, 162, 2, 1, 8, 0, 1173 
1230373, 2, 163, 2, 2, 8, 1, 808 
1230373, 2, 164, 1, 1, 8, 0, 811 
1230373, 2, 165, 2, 1, 8, 0, 792 
1230373, 2, 166, 2, 1, 4, 0, 956 
1230373, 2, 167, 2, 2, 16, 0, 793 
1230373, 2, 168, 2, 1, 16, 0, 849 
1230373, 2, 169, 1, 1, 8, 1, 716 
1230373, 2, 170, 2, 2, 16, 0, 636 
1230373, 2, 171, 2, 1, 8, 0, 1118 
1230373, 2, 172, 1, 1, 4, 1, 748 
1230373, 2, 173, 1, 1, 4, 0, 849 
1230373, 2, 174, 1, 2, 16, 0, 723 
1230373, 2, 175, 1, 2, 4, 0, 571 
1230373, 2, 176, 2, 1, 4, 0, 801 
1230373, 2, 177, 2, 2, 4, 0, 836 
1230373, 2, 178, 2, 1, 4, 0, 884 
1230373, 2, 179, 2, 2, 4, 0, 1589 
1230373, 2, 180, 1, 1, 4, 0, 931 
1230373, 2, 181, 2, 2, 4, 0, 800 
1230373, 2, 182, 2, 1, 8, 0, 1188 
1230373, 2, 183, 1, 1, 4, 0, 867 
1230373, 2, 184, 2, 2, 16, 0, 594 
1230373, 2, 185, 1, 1, 8, 0, 1760 
1230373, 2, 186, 2, 1, 4, 0, 844 
1230373, 2, 187, 2, 2, 16, 1, 788 
1230373, 2, 188, 1, 1, 16, 0, 1084 
1230373, 2, 189, 2, 2, 16, 0, 595 
1230373, 2, 190, 2, 2, 4, 0, 660 
1230373, 2, 191, 2, 1, 8, 0, 1073 
1230373, 2, 192, 2, 1, 4, 0, 722 
1230373, 2, 193, 2, 1, 16, 0, 1295 
1230373, 2, 194, 2, 1, 4, 0, 699 
1230373, 2, 195, 2, 2, 4, 0, 740 
1230373, 2, 196, 2, 2, 8, 0, 578 
1230373, 2, 197, 2, 2, 16, 0, 607 
1230373, 2, 198, 1, 1, 16, 0, 1026 
1230373, 2, 199, 2, 1, 16, 0, 1155 
1230373, 2, 200, 1, 2, 16, 0, 789 
1230373, 2, 201, 1, 2, 8, 0, 690 
1230373, 2, 202, 1, 1, 16, 0, 899 
1230373, 2, 203, 2, 1, 4, 0, 740 
1230373, 2, 204, 1, 2, 16, 0, 691 
1230373, 2, 205, 1, 1, 4, 0, 1204 
1230373, 2, 206, 1, 2, 16, 0, 594 
1230373, 2, 207, 1, 1, 16, 0, 1216 
1230373, 2, 208, 2, 2, 4, 0, 707 
1230373, 2, 209, 2, 1, 8, 0, 1139 
1230373, 2, 210, 1, 2, 8, 0, 724 
1230373, 2, 211, 2, 1, 4, 0, 658 
1230373, 2, 212, 2, 1, 4, 0, 581 
1230373, 2, 213, 2, 2, 16, 0, 781 
1230373, 2, 214, 1, 1, 16, 1, 733 
1230373, 2, 215, 1, 1, 4, 1, 965 
1230373, 2, 216, 1, 1, 16, 0, 1209 
1230373, 2, 217, 1, 1, 8, 1, 1553 
1230373, 2, 218, 2, 1, 4, 0, 1033 
1230373, 2, 219, 2, 2, 8, 0, 832 
1230373, 2, 220, 2, 2, 4, 0, 532 
1230373, 2, 221, 1, 1, 8, 0, 1303 
1230373, 2, 222, 1, 1, 4, 0, 1105 
1230373, 2, 223, 1, 1, 16, 0, 1349 
1230373, 2, 224, 1, 1, 8, 0, 996 
1230373, 2, 225, 2, 2, 4, 0, 626 
1230373, 2, 226, 1, 2, 8, 0, 899 
1230373, 2, 227, 2, 2, 16, 0, 620 
1230373, 2, 228, 1, 2, 8, 0, 833 
1230373, 2, 229, 2, 2, 8, 0, 563 
1230373, 2, 230, 1, 2, 16, 0, 799 
1230373, 2, 231, 2, 2, 8, 0, 645 
1230373, 2, 232, 1, 1, 4, 0, 651 
1230373, 2, 233, 2, 1, 8, 1, 712 
1230373, 2, 234, 2, 1, 4, 0, 800 
1230373, 2, 235, 2, 2, 4, 0, 724 
1230373, 2, 236, 1, 2, 8, 0, 846 
1230373, 2, 237, 1, 1, 8, 0, 1011 
1230373, 2, 238, 1, 1, 16, 0, 900 
1230373, 2, 239, 1, 2, 16, 1, 580 
1230373, 2, 240, 2, 2, 4, 0, 677 

